Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID134147 : ID134629),0,134147,134629,686.539,0.500,265.606,65.193,0,26.202,26.202,None
(ID134211 : ID134661),1,134211,134661,605.408,0.500,418.638,364.697,0,24.605,24.605,None
(ID134661 : ID134382),1,134661,134382,459.419,1.500,421.868,351.188,0,3.191,3.191,None
(ID134144 : ID134627),2,134144,134627,867.782,0.500,408.922,43.792,0,29.458,29.458,None
(ID134627 : ID134349),2,134627,134349,723.519,1.500,424.076,32.722,0,14.083,14.083,None
(ID134349 : ID134552),2,134349,134552,594.950,2.500,435.305,32.387,0,9.075,9.075,None
(ID134552 : ID133925),2,134552,133925,236.167,3.500,444.549,31.293,0,9.952,9.952,None
(ID133925 : ID134069),2,133925,134069,71.747,4.500,452.521,32.480,0,6.226,6.226,None
(ID134069 : ID133849),2,134069,133849,644.935,6.000,453.752,40.329,0,7.285,14.570,None
(ID133849 : ID134422),2,133849,134422,38.182,7.500,449.256,48.550,0,5.903,5.903,None
(ID134422 : ID133786),2,134422,133786,194.227,8.500,438.244,49.292,0,16.616,16.616,None
(ID133786 : ID134284),2,133786,134284,6.793,9.500,424.809,48.211,0,10.359,10.359,None
(ID134284 : ID134698),2,134284,134698,59.423,10.500,417.953,46.433,0,4.099,4.099,None
(ID134698 : ID133720),2,134698,133720,52.931,11.500,416.468,43.791,0,3.093,3.093,None
(ID133720 : ID133654),2,133720,133654,175.151,12.500,417.334,34.694,0,15.189,15.189,None
(ID133654 : ID134483),2,133654,134483,113.285,13.500,416.434,27.391,0,3.107,3.107,None
(ID134483 : ID134149),2,134483,134149,590.663,14.500,410.951,13.828,0,28.762,28.762,None
(ID134209 : ID134660),3,134209,134660,784.000,0.500,1223.000,347.000,0,28.000,28.000,None
(ID134660 : ID134381),3,134660,134381,625.000,1.500,1223.000,331.500,0,3.000,3.000,None
(ID134273 : ID134688),4,134273,134688,818.702,0.500,902.326,821.836,0,28.613,28.613,None
(ID134150 : ID134631),5,134150,134631,762.040,0.500,1104.726,87.320,0,27.605,27.605,None
(ID134279 : ID134691),6,134279,134691,590.740,0.500,1177.117,875.440,0,24.305,24.305,None
(ID134691 : ID134416),6,134691,134416,503.440,1.500,1179.186,862.482,0,2.322,2.322,None
(ID134416 : ID134618),6,134416,134618,708.932,2.500,1179.956,862.110,0,1.010,1.010,None
(ID134618 : ID133988),6,134618,133988,173.829,3.500,1179.961,862.940,0,0.649,0.649,None
(ID133988 : ID134135),6,133988,134135,20.484,4.500,1179.765,863.254,0,0.389,0.389,None
(ID134135 : ID134063),6,134135,134063,6.930,5.500,1179.816,863.721,0,1.073,1.073,None
(ID134063 : ID133919),6,134063,133919,0.374,6.500,1179.914,864.035,0,0.440,0.440,None
(ID133919 : ID134481),6,133919,134481,0.289,7.500,1179.842,864.044,0,0.376,0.376,None
(ID134481 : ID133844),6,134481,133844,0.366,8.500,1180.234,864.192,0,0.636,0.636,None
(ID133844 : ID134342),6,133844,134342,1.275,9.500,1180.304,864.539,0,0.890,0.890,None
(ID134342 : ID134755),6,134342,134755,0.087,10.500,1180.090,865.248,0,0.681,0.681,None
(ID134755 : ID133778),6,134755,133778,1.223,11.500,1179.932,865.358,0,0.596,0.596,None
(ID133778 : ID133714),6,133778,133714,0.114,12.500,1179.542,864.982,0,0.494,0.494,None
(ID133714 : ID134546),6,133714,134546,1.074,13.500,1179.514,864.345,0,1.038,1.038,None
(ID134546 : ID134274),6,134546,134274,0.486,14.500,1179.632,863.870,0,0.112,0.112,None
(ID134274 : ID135321),6,134274,135321,2.462,15.500,1180.169,864.248,0,1.386,1.386,None
(ID135321 : ID135598),6,135321,135598,11.802,16.500,1180.169,863.315,0,2.848,2.848,None
(ID135598 : ID134963),6,135598,134963,0.577,17.500,1179.406,861.737,0,0.662,0.662,None
(ID134963 : ID135180),6,134963,135180,2.636,18.500,1179.347,861.728,0,0.591,0.591,None
(ID135180 : ID135252),6,135180,135252,0.247,19.500,1179.490,862.203,0,0.410,0.410,None
(ID135252 : ID135109),6,135252,135109,0.047,20.500,1179.430,862.497,0,0.257,0.257,None
(ID135109 : ID134893),6,135109,134893,0.066,21.500,1179.423,862.715,0,0.302,0.302,None
(ID134893 : ID135033),6,134893,135033,0.013,22.500,1179.525,862.902,0,0.128,0.128,None
(ID135033 : ID135457),6,135033,135457,0.081,23.500,1179.478,863.159,0,0.413,0.413,None
(ID135457 : ID134821),6,135457,134821,0.378,24.500,1179.629,863.313,0,0.440,0.440,None
(ID134821 : ID135796),6,134821,135796,0.426,25.500,1179.682,863.133,0,0.427,0.427,None
(ID135796 : ID135727),6,135796,135727,0.100,26.500,1179.637,862.920,0,0.279,0.279,None
(ID135727 : ID135386),6,135727,135386,0.075,27.500,1179.871,862.654,0,0.448,0.448,None
(ID135386 : ID135526),6,135386,135526,0.014,28.500,1180.067,862.381,0,0.229,0.229,None
(ID135526 : ID135661),6,135526,135661,0.644,29.500,1179.978,862.498,0,0.524,0.524,None
(ID135661 : ID135865),6,135661,135865,0.499,30.500,1180.033,862.558,0,0.531,0.531,None
(ID135865 : ID136518),6,135865,136518,0.209,31.500,1180.155,862.484,0,0.245,0.245,None
(ID136518 : ID135997),6,136518,135997,1.067,32.500,1180.249,863.036,0,1.050,1.050,None
(ID135997 : ID136452),6,135997,136452,0.010,33.500,1180.569,863.763,0,0.540,0.540,None
(ID136452 : ID135933),6,136452,135933,0.284,34.500,1180.663,864.053,0,0.116,0.116,None
(ID135933 : ID136062),6,135933,136062,0.108,35.500,1180.617,864.089,0,0.041,0.041,None
(ID136062 : ID136258),6,136062,136258,0.250,36.500,1180.511,863.893,0,0.409,0.409,None
(ID136258 : ID136586),6,136258,136586,0.111,37.500,1180.432,863.469,0,0.481,0.481,None
(ID136586 : ID136320),6,136586,136320,0.009,38.500,1180.390,863.078,0,0.321,0.321,None
(ID136320 : ID136193),6,136320,136193,0.045,39.500,1180.244,862.852,0,0.236,0.236,None
(ID136193 : ID136128),6,136193,136128,1.139,40.500,1180.615,862.598,0,0.989,0.989,None
(ID136128 : ID136790),6,136128,136790,1.392,41.500,1180.809,862.585,0,0.628,0.628,None
(ID136790 : ID136724),6,136790,136724,1.199,42.500,1180.579,862.236,0,1.029,1.029,None
(ID136724 : ID136385),6,136724,136385,1.035,43.500,1180.501,860.953,0,1.558,1.558,None
(ID136385 : ID136656),6,136385,136656,3.336,44.500,1181.200,859.373,0,2.296,2.296,None
(ID136656 : ID136923),6,136656,136923,3.138,45.500,1181.599,858.100,0,1.245,1.245,None
(ID136923 : ID136855),6,136923,136855,1.042,46.500,1181.186,856.549,0,2.174,2.174,None
(ID136855 : ID137928),6,136855,137928,36.673,47.500,1180.060,851.777,0,7.708,7.708,None
(ID137928 : ID136993),6,137928,136993,14.356,48.500,1179.193,847.265,0,1.735,1.735,None
(ID136993 : ID137067),6,136993,137067,20.421,49.500,1179.458,847.091,0,1.306,1.306,None
(ID137067 : ID137136),6,137067,137136,68.875,50.500,1181.162,843.701,0,8.772,8.772,None
(ID137136 : ID137722),6,137136,137722,9.960,51.500,1185.137,838.143,0,5.468,5.468,None
(ID137722 : ID137503),6,137722,137503,10.488,52.500,1187.844,833.716,0,5.887,5.887,None
(ID137503 : ID137860),6,137503,137860,72.205,53.500,1191.931,831.653,0,7.506,7.506,None
(ID137860 : ID137793),6,137860,137793,75.634,54.500,1193.961,830.516,0,5.133,5.133,None
(ID137793 : ID137208),6,137793,137208,68.287,55.500,1193.300,831.272,0,5.813,5.813,None
(ID137208 : ID137357),6,137208,137357,14.531,56.500,1196.626,834.390,0,4.779,4.779,None
(ID137357 : ID137433),6,137357,137433,9.799,57.500,1201.941,834.708,0,5.913,5.913,None
(ID137433 : ID138004),6,137433,138004,135.464,58.500,1201.499,835.227,0,6.895,6.895,None
(ID138004 : ID137575),6,138004,137575,568.444,59.500,1204.047,826.455,0,22.164,22.164,None
(ID137575 : ID137277),6,137575,137277,273.524,60.500,1206.989,806.160,0,22.698,22.698,None
(ID134213 : ID134662),7,134213,134662,568.400,0.500,432.056,401.182,0,23.841,23.841,None
(ID134662 : ID134383),7,134662,134383,714.117,1.500,432.779,390.551,0,3.965,3.965,None
(ID134383 : ID134587),7,134383,134587,426.471,2.500,428.389,370.099,0,45.014,45.014,None
(ID134587 : ID133958),7,134587,133958,830.554,3.500,421.198,346.798,0,4.068,4.068,None
(ID133958 : ID134102),7,133958,134102,316.571,4.500,418.947,345.758,0,2.242,2.242,None
(ID134102 : ID134029),7,134102,134029,130.480,5.500,419.144,348.439,0,4.873,4.873,None
(ID134029 : ID133884),7,134029,133884,0.629,6.500,420.451,350.333,0,0.545,0.545,None
(ID133884 : ID134452),7,133884,134452,16.170,7.500,422.018,351.686,0,4.292,4.292,None
(ID134452 : ID133815),7,134452,133815,39.218,8.500,421.659,352.590,0,3.849,3.849,None
(ID133815 : ID134315),7,133815,134315,80.256,9.500,423.331,353.776,0,7.887,7.887,None
(ID134315 : ID134730),7,134315,134730,121.450,10.500,424.040,353.406,0,7.116,7.116,None
(ID134730 : ID133753),7,134730,133753,11.251,11.500,419.794,351.891,0,3.309,3.309,None
(ID133753 : ID133688),7,133753,133688,17.118,12.500,417.403,354.661,0,4.465,4.465,None
(ID133688 : ID134518),7,133688,134518,10.265,13.500,415.786,359.459,0,5.697,5.697,None
(ID134518 : ID134224),7,134518,134224,2.165,14.500,414.816,364.772,0,5.136,5.136,None
(ID134224 : ID135295),7,134224,135295,1.693,15.500,413.708,369.180,0,4.078,4.078,None
