ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
127926,0.011,0.000,0.011,0.000,{method 'getrandbits' of '_random.Random' objects}
100000,0.009,0.000,0.009,0.000,{method 'append' of 'list' objects}
100000,0.008,0.000,0.008,0.000,{method 'bit_length' of 'int' objects}
1,0.042,0.042,0.192,0.192,/Users/jonathanlifferth/PycharmProjects/Research_Analyst_Playground/image_processing/cProfile/cProfile_to_csv.py:12(a)
100000,0.041,0.000,0.059,0.000,/Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/random.py:237(_randbelow_with_getrandbits)
100000,0.052,0.000,0.112,0.000,/Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/random.py:290(randrange)
100000,0.029,0.000,0.141,0.000,/Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/random.py:334(randint)


